Price,Wait,Exchange,iP16,Pro
97,1,97.1223,0,0
80,3,90.8172,0,0
71,5,91.5183,0,0
65,7,92.9586,0,0
62,9,87.7569,0,0
114,1,96.1602,1,0
85,3,102.2596,1,0
70,5,92.7423,1,0
65,7,83.4256,1,0
60,9,78.6679,1,0
175,1,97.1223,0,1
155,2,90.4128,0,1
131,3,90.8172,0,1
126,4,88.6803,0,1
117,5,91.5183,0,1
120,6,91.7316,0,1
115,7,92.9586,0,1
110,8,90.6072,0,1
102,9,87.7569,0,1
160,1,96.1602,1,1
155,2,100.6875,1,1
130,3,102.2596,1,1
125,4,100.4121,1,1
125,5,92.7423,1,1
105,6,86.0234,1,1
100,7,83.4256,1,1
96,8,80.2048,1,1
91,9,78.6679,1,1